Difficulty,Distance,elevation_gain,route_type,hiking,views,nature trips,walking,birding,wild flowers,forest,wildlife,trail running,dogs on leash,kid friendly,mountain biking,lake,dog friendly,river,horseback riding,no dogs,camping,snowshoeing,backpacking,waterfall,fishing,off road driving,cross country skiing,scenic driving,rock climbing,road biking,wheelchair friendly,skiing,historic site,cave,city walk,paddle sports,hot springs,rails trails,beach
HARD,2.7,1692,Loop,yes,yes,yes,yes,yes,yes,yes,yes,no,no,no,no,yes,yes,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no
EASY,0.8,13,Loop,yes,no,yes,yes,yes,no,no,no,no,no,yes,no,yes,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
EASY,4.3,331,Out & Back,yes,no,no,yes,no,no,yes,yes,no,no,yes,no,no,no,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
HARD,12.2,1601,Loop,yes,yes,yes,yes,yes,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
MODERATE,4.5,1007,Out & Back,yes,yes,yes,yes,yes,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
HARD,12.3,6289,Out & Back,yes,yes,no,no,no,no,no,no,no,no,no,no,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
HARD,13.8,3195,Out & Back,yes,yes,yes,yes,yes,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
HARD,11.9,2736,Out & Back,yes,yes,yes,no,yes,yes,yes,no,yes,no,no,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no
HARD,9.3,2890,Out & Back,yes,yes,yes,yes,no,yes,no,no,no,no,no,no,no,yes,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
EASY,7.4,889,Point to Point,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no
EASY,9.7,1128,Out & Back,yes,yes,no,yes,yes,no,yes,no,no,yes,no,yes,no,no,yes,no,no,no,yes,no,no,no,no,yes,no,no,yes,no,no,no,no,no,no,no,no,no
MODERATE,25.1,3543,Out & Back,yes,yes,yes,yes,yes,yes,no,yes,no,yes,no,yes,yes,no,yes,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
MODERATE,1.0,144,Loop,yes,yes,yes,yes,yes,yes,no,no,no,yes,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
MODERATE,8.2,2437,Out & Back,yes,yes,yes,yes,yes,no,yes,yes,no,yes,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
MODERATE,4.1,551,Loop,yes,yes,no,yes,yes,yes,yes,no,yes,no,no,yes,no,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
HARD,3.3,387,Out & Back,yes,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,yes,no,no,no,no,no,no,no
MODERATE,2.3,666,Out & Back,yes,yes,no,no,no,no,yes,yes,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
MODERATE,5.3,954,Out & Back,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
MODERATE,7.8,1384,Loop,yes,yes,yes,no,no,no,yes,yes,yes,yes,no,yes,no,no,no,yes,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
MODERATE,6.6,1102,Loop,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
EASY,3.1,121,Out & Back,no,no,no,yes,no,no,no,no,no,no,yes,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
MODERATE,2.4,367,Loop,yes,yes,yes,yes,yes,no,no,no,yes,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
MODERATE,2.3,666,Loop,yes,yes,yes,yes,yes,no,yes,no,no,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
MODERATE,5.0,1489,Loop,yes,yes,yes,no,no,yes,yes,yes,yes,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
EASY,3.3,108,Out & Back,yes,yes,yes,yes,yes,no,no,no,yes,no,yes,no,no,no,no,no,yes,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no
EASY,0.8,16,Loop,yes,no,no,yes,yes,no,no,yes,yes,no,yes,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
EASY,4.1,1433,Out & Back,yes,yes,yes,yes,yes,no,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
MODERATE,7.4,2253,Out & Back,yes,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
MODERATE,5.4,2368,Out & Back,yes,yes,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
MODERATE,4.3,826,Out & Back,yes,yes,yes,yes,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
EASY,16.0,784,Out & Back,yes,yes,yes,yes,yes,yes,no,no,yes,no,yes,no,yes,yes,yes,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no
MODERATE,7.2,882,Out & Back,yes,yes,yes,yes,yes,yes,yes,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
MODERATE,4.9,459,Out & Back,yes,yes,yes,yes,yes,no,yes,yes,no,no,no,no,no,no,no,no,no,yes,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
EASY,0.9,22,Loop,yes,yes,no,yes,no,no,no,no,yes,yes,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no
MODERATE,1.3,334,Loop,yes,yes,yes,yes,no,no,no,no,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
MODERATE,0.0,0,Out & Back,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
HARD,16.2,4202,Out & Back,yes,no,no,no,no,no,no,yes,yes,no,no,no,yes,yes,yes,yes,no,no,yes,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no
EASY,14.7,1076,Out & Back,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,no,yes,no,no,yes,no,no,no,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no
HARD,12.0,2604,Out & Back,yes,yes,no,no,no,yes,yes,yes,yes,no,no,yes,yes,yes,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
EASY,1.5,190,Loop,yes,no,no,no,no,no,no,no,no,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
MODERATE,22.3,3851,Out & Back,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,no,no,no,yes,yes,no,no,yes,no,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no
MODERATE,14.5,1643,Loop,yes,yes,yes,yes,yes,no,yes,no,no,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
MODERATE,3.9,255,Loop,yes,yes,yes,no,no,no,yes,no,no,no,no,no,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
EASY,5.7,229,Out & Back,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,no,no,no,no,no,no,yes,no,no,no,no,yes,no,no,no,no,no,no,no,yes,no,no,no,no,no
MODERATE,4.3,830,Out & Back,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
EASY,10.6,259,Out & Back,yes,yes,yes,yes,yes,no,no,no,no,no,yes,yes,no,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
MODERATE,5.0,1610,Loop,yes,yes,yes,yes,yes,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
MODERATE,1.3,29,Out & Back,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
MODERATE,4.1,2637,Loop,yes,yes,yes,yes,yes,yes,no,no,no,yes,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
HARD,6.9,2716,Out & Back,yes,yes,yes,yes,yes,no,yes,yes,no,yes,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
EASY,4.6,475,Loop,yes,yes,yes,yes,yes,yes,no,yes,no,yes,yes,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
HARD,11.2,3487,Out & Back,yes,yes,no,no,no,no,no,yes,yes,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
MODERATE,4.1,583,Out & Back,yes,yes,no,no,no,yes,no,no,no,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
MODERATE,3.5,1200,Out & Back,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
EASY,1.6,446,Loop,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,no,no,no,no,no,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
EASY,6.3,298,Out & Back,yes,yes,yes,yes,yes,yes,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
EASY,1.0,118,Loop,yes,no,yes,yes,yes,yes,no,no,yes,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
HARD,9.7,3690,Out & Back,yes,yes,yes,yes,yes,yes,no,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
EASY,0.7,49,Loop,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no
EASY,4.6,337,Loop,no,yes,yes,no,yes,yes,yes,yes,no,no,yes,no,no,no,no,no,yes,no,no,no,no,no,no,no,yes,no,no,yes,no,no,no,no,no,no,no,no
HARD,9.2,3221,Out & Back,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
MODERATE,5.2,810,Out & Back,yes,yes,no,yes,no,no,no,yes,no,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
MODERATE,5.4,1404,Loop,yes,yes,yes,yes,yes,yes,yes,no,no,yes,yes,no,no,no,no,no,no,no,yes,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no
MODERATE,6.6,885,Out & Back,yes,yes,yes,yes,yes,yes,yes,no,no,yes,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
MODERATE,7.6,3999,Out & Back,yes,yes,yes,no,no,no,yes,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
HARD,16.8,4379,Loop,yes,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
MODERATE,2.8,505,Loop,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
EASY,4.1,285,Out & Back,yes,yes,yes,yes,no,yes,no,no,yes,yes,yes,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
EASY,1.9,55,Loop,yes,yes,yes,yes,yes,no,no,no,yes,yes,yes,no,yes,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no
EASY,2.7,780,Out & Back,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
EASY,1.5,9,Out & Back,yes,yes,yes,yes,yes,yes,no,yes,no,no,yes,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
HARD,12.7,2339,Point to Point,yes,yes,no,no,no,no,yes,yes,yes,no,no,no,yes,no,no,no,no,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
MODERATE,5.5,636,Loop,yes,no,no,no,no,no,no,yes,yes,no,no,no,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
MODERATE,7.4,1522,Loop,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,no,no,no,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
HARD,16.9,4570,Point to Point,yes,yes,no,no,no,no,yes,yes,yes,no,no,no,yes,no,no,no,no,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
EASY,3.6,501,Loop,yes,no,no,no,no,no,no,yes,no,no,yes,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
MODERATE,10.8,2683,Out & Back,yes,yes,yes,yes,yes,no,yes,yes,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
MODERATE,10.2,2125,Out & Back,yes,yes,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
HARD,5.2,1856,Out & Back,yes,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no
MODERATE,10.3,1377,Loop,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,no,yes,yes,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
EASY,18.2,3339,Point to Point,yes,no,no,yes,yes,no,yes,no,yes,no,no,yes,no,yes,yes,yes,no,yes,no,yes,no,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,no
HARD,9.9,2011,Out & Back,yes,yes,yes,yes,yes,yes,yes,yes,no,no,no,no,no,yes,no,no,no,yes,yes,yes,no,no,no,yes,no,no,no,no,yes,no,no,no,no,no,no,no
EASY,6.4,649,Out & Back,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
EASY,1.0,49,Out & Back,yes,no,no,yes,no,no,no,yes,yes,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no
MODERATE,2.5,629,Out & Back,yes,yes,no,yes,no,yes,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
HARD,11.8,2568,Loop,yes,yes,yes,yes,yes,yes,yes,no,no,no,no,no,yes,no,no,no,yes,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
MODERATE,7.7,1246,Out & Back,yes,yes,yes,yes,yes,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
MODERATE,8.7,1049,Point to Point,yes,yes,yes,no,yes,no,yes,no,yes,yes,no,no,yes,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
EASY,1.3,9,Out & Back,yes,no,no,yes,no,no,no,yes,yes,yes,yes,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no
MODERATE,3.2,718,Out & Back,yes,yes,yes,yes,yes,yes,yes,yes,no,no,yes,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
HARD,12.5,3464,Out & Back,yes,no,no,no,no,yes,yes,yes,no,no,no,no,yes,no,yes,no,yes,no,no,yes,yes,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no
EASY,0.5,459,Out & Back,yes,yes,yes,yes,yes,yes,no,yes,no,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
EASY,25.0,5114,Out & Back,yes,no,no,no,no,no,yes,no,yes,no,no,no,no,yes,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no
MODERATE,18.3,2644,Loop,yes,yes,no,no,no,no,no,no,yes,no,no,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
HARD,14.8,4904,Loop,yes,yes,yes,yes,yes,no,no,yes,no,no,no,no,yes,no,no,no,yes,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
MODERATE,3.5,823,Out & Back,yes,no,no,no,no,no,no,no,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
EASY,9.9,1745,Point to Point,no,yes,yes,no,no,no,no,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no
EASY,8.9,2027,Loop,no,yes,yes,no,no,no,yes,no,no,no,yes,no,no,yes,no,no,no,no,no,no,no,no,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no
HARD,10.9,2303,Loop,yes,yes,yes,yes,yes,yes,yes,yes,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
MODERATE,8.1,1948,Out & Back,yes,yes,no,no,no,no,no,no,yes,yes,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
MODERATE,9.0,1440,Out & Back,yes,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
EASY,8.1,4412,Point to Point,no,yes,yes,no,yes,no,yes,yes,no,yes,no,yes,yes,no,no,no,no,no,no,no,yes,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no
EASY,1.2,9,Loop,yes,yes,yes,yes,yes,no,yes,no,no,yes,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
EASY,3.6,180,Point to Point,yes,yes,yes,yes,yes,yes,yes,no,no,no,yes,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
HARD,3.1,2122,Out & Back,yes,yes,yes,yes,yes,yes,no,yes,no,no,no,no,yes,yes,no,no,no,yes,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no
MODERATE,1.7,252,Loop,yes,yes,yes,yes,yes,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
MODERATE,3.9,456,Out & Back,yes,yes,yes,yes,yes,yes,yes,no,no,yes,yes,yes,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
MODERATE,4.3,830,Loop,yes,no,no,no,yes,yes,yes,no,yes,yes,no,yes,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
MODERATE,0.9,534,Out & Back,yes,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no
MODERATE,8.4,515,Loop,yes,no,no,no,no,yes,no,yes,yes,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
MODERATE,2.2,232,Loop,yes,yes,yes,yes,yes,yes,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
MODERATE,4.0,918,Out & Back,yes,no,no,no,no,no,yes,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
EASY,4.8,1591,Out & Back,yes,yes,yes,yes,yes,yes,no,no,no,no,yes,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
EASY,5.5,111,Out & Back,yes,no,yes,yes,no,yes,no,yes,yes,yes,yes,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
MODERATE,2.0,603,Loop,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
EASY,2.1,387,Loop,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
MODERATE,12.6,2148,Out & Back,yes,yes,no,no,no,no,yes,no,yes,no,no,no,no,yes,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
MODERATE,21.3,5889,Out & Back,yes,yes,yes,yes,yes,yes,no,yes,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
HARD,9.7,1328,Out & Back,yes,yes,yes,yes,yes,yes,yes,yes,no,no,no,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
HARD,17.0,830,Out & Back,yes,yes,yes,yes,yes,yes,no,no,yes,no,no,yes,no,yes,yes,yes,no,yes,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no
HARD,5.5,3008,Out & Back,yes,yes,yes,no,no,yes,no,yes,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no
EASY,0.8,65,Loop,yes,yes,no,yes,no,no,yes,no,yes,yes,yes,yes,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
MODERATE,4.6,337,Loop,yes,yes,yes,yes,yes,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
MODERATE,10.6,1978,Loop,yes,yes,yes,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
MODERATE,3.1,577,Out & Back,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
HARD,12.5,2480,Point to Point,yes,yes,no,no,no,no,yes,yes,yes,no,no,yes,yes,no,no,no,no,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
MODERATE,9.5,3887,Loop,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
EASY,4.1,921,Out & Back,yes,yes,yes,yes,no,yes,no,no,yes,no,yes,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
EASY,1.5,177,Loop,yes,yes,yes,no,no,yes,yes,yes,yes,no,yes,no,yes,yes,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
EASY,1.5,91,Out & Back,yes,yes,yes,yes,yes,no,no,no,yes,no,yes,no,yes,yes,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no
HARD,4.6,2398,Loop,yes,yes,no,no,no,no,yes,yes,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
EASY,4.2,475,Out & Back,yes,no,yes,yes,yes,no,no,no,no,yes,yes,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
HARD,6.9,2644,Out & Back,yes,yes,yes,yes,yes,yes,no,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
EASY,2.6,328,Loop,yes,no,no,no,no,no,yes,no,no,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no
EASY,20.6,3015,Point to Point,yes,yes,yes,yes,yes,yes,yes,yes,no,no,yes,yes,no,yes,no,no,no,no,no,no,no,no,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no
MODERATE,5.9,1571,Out & Back,yes,yes,yes,yes,yes,yes,no,no,no,no,yes,no,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
EASY,3.4,36,Out & Back,yes,no,no,yes,yes,no,no,yes,no,no,yes,no,yes,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no
EASY,12.2,1128,Out & Back,yes,yes,yes,yes,yes,yes,no,yes,no,yes,no,yes,no,no,no,no,no,no,yes,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no
EASY,1.8,157,Out & Back,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
EASY,5.0,223,Loop,yes,no,yes,yes,no,no,yes,no,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no
EASY,4.0,751,Loop,yes,yes,yes,yes,yes,no,yes,yes,yes,no,yes,no,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
MODERATE,5.0,1906,Out & Back,yes,yes,no,yes,no,yes,yes,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no
